j, Re(w+), Im(w+), Re(w-), Im(w-)
0,0.375,0.438986,0.375,-0.438986
1,0.438732,-0.388721,0.302034,0.506047
2,0.490551,-0.35431,0.222741,0.586073
3,0.530656,-0.332207,0.137599,0.6727
4,0.56126,-0.319137,0.045503,0.759976
5,0.584909,-0.312828,-0.054579,0.843158
6,0.603732,-0.311755,-0.162893,0.918517
7,0.619328,-0.31486,-0.278835,0.983115
8,0.632861,-0.321384,-0.401098,1.034677
9,0.645178,-0.330771,-0.527852,1.071537
10,0.656909,-0.34261,-0.656909,1.09261
11,0.668543,-0.356598,-0.785869,1.097364
12,0.680479,-0.372512,-0.912242,1.085805
13,0.693067,-0.390187,-1.03356,1.058442
14,0.706631,-0.409499,-1.14747,1.016261
15,0.721492,-0.430347,-1.251822,0.960677
16,0.737988,-0.452645,-1.34475,0.893484
17,0.756479,-0.476303,-1.424734,0.816796
18,0.777368,-0.501208,-1.49066,0.73297
19,0.801101,-0.527209,-1.541867,0.644534
20,0.828178,-0.554088,-1.578178,0.554088
21,0.859148,-0.581532,-1.599914,0.464206
22,0.894596,-0.609095,-1.607889,0.377333
23,0.935122,-0.636162,-1.603377,0.295669
24,0.981293,-0.661906,-1.588056,0.221067
25,1.033577,-0.685269,-1.563908,0.154939
26,1.092259,-0.704952,-1.533098,0.098189
27,1.157337,-0.719446,-1.49783,0.051191
28,1.228435,-0.727107,-1.460198,0.013814
29,1.304731,-0.726267,-1.422056,-0.014499
30,1.384934,-0.71538,-1.384934,-0.03462
31,1.467323,-0.693167,-1.349997,-0.047599
32,1.549821,-0.658741,-1.318058,-0.054552
33,1.630123,-0.611696,-1.289631,-0.056559
34,1.705829,-0.552156,-1.26499,-0.054607
35,1.774577,-0.480769,-1.244247,-0.049561
36,1.834168,-0.398682,-1.227406,-0.042157
37,1.88267,-0.307481,-1.214415,-0.033011
38,1.918497,-0.209116,-1.205205,-0.022647
39,1.940475,-0.105815,-1.199709,-0.01151
40,1.947882,0,-1.197882,0
41,1.940475,0.105815,-1.199709,0.01151
42,1.918497,0.209116,-1.205205,0.022647
43,1.88267,0.307481,-1.214415,0.033011
44,1.834168,0.398682,-1.227406,0.042157
45,1.774577,0.480769,-1.244247,0.049561
46,1.705829,0.552156,-1.26499,0.054607
47,1.630123,0.611696,-1.289631,0.056559
48,1.549821,0.658741,-1.318058,0.054552
49,1.467323,0.693167,-1.349997,0.047599
50,1.384934,0.71538,-1.384934,0.03462
51,1.304731,0.726267,-1.422056,0.014499
52,1.228435,0.727107,-1.460198,-0.013814
53,1.157337,0.719446,-1.49783,-0.051191
54,1.092259,0.704952,-1.533098,-0.098189
55,1.033577,0.685269,-1.563908,-0.154939
56,0.981293,0.661906,-1.588056,-0.221067
57,0.935122,0.636162,-1.603377,-0.295669
58,0.894596,0.609095,-1.607889,-0.377333
59,0.859148,0.581532,-1.599914,-0.464206
60,0.828178,0.554088,-1.578178,-0.554088
61,0.801101,0.527209,-1.541867,-0.644534
62,0.777368,0.501208,-1.49066,-0.73297
63,0.756479,0.476303,-1.424734,-0.816796
64,0.737988,0.452645,-1.34475,-0.893484
65,0.721492,0.430347,-1.251822,-0.960677
66,0.706631,0.409499,-1.14747,-1.016261
67,0.693067,0.390187,-1.03356,-1.058442
68,0.680479,0.372512,-0.912242,-1.085805
69,0.668543,0.356598,-0.785869,-1.097364
70,0.656909,0.34261,-0.656909,-1.09261
71,0.645178,0.330771,-0.527852,-1.071537
72,0.632861,0.321384,-0.401098,-1.034677
73,0.619328,0.31486,-0.278835,-0.983115
74,0.603732,0.311755,-0.162893,-0.918517
75,0.584909,0.312828,-0.054579,-0.843158
76,0.56126,0.319137,0.045503,-0.759976
77,0.530656,0.332207,0.137599,-0.6727
78,0.490551,0.35431,0.222741,-0.586073
79,0.438732,0.388721,0.302034,-0.506047
80,0.375,0.438986,0.375,-0.438986